Term,Status ,Section Name and Title,Location,Meeting Information ,Faculty,Available/Capacity/Waitlist,Credits,
Spring 2015,Waitlisted,CS-12J-88435 (88435) Intro to Prgrmming/Java,Main Campus,"01/26/2015-05/23/2015 Lecture Monday 11:00AM - 01:05PM, Building 800, Room 829 (more)...",J. Bergamini,0 / 32 / 6,4,
Spring 2015,Waitlisted,CS-12J-88436 (88436) Intro to Prgrmming/Java,Main Campus,"01/26/2015-05/23/2015 Lecture Tuesday 05:30PM - 08:35PM, Building 800, Room 828 (more)...",J. Bergamini,0 / 32 / 7,4,
Spring 2015,Open,CS-20J-88439 (88439) Java Programming,Online Course,"01/26/2015-05/23/2015 Lecture Tuesday 06:00PM - 09:05PM, Building 800, Room 825 (more)...",S. Hodges,10 / 40 / 0,4,
Spring 2015,Waitlisted,CS-19-88438 (88438) C++ Programming,Online Course,"01/26/2015-05/23/2015 Lecture Tuesday, Thursday 01:30PM - 02:50PM, Building 800, Room 825 (more)...",S. Hodges,0 / 40 / 7,4,
Spring 2015,Open,CS-12GP-88434 (88434) Intro to Programming/Games,Main Campus,"01/26/2015-05/23/2015 Lecture Tuesday 11:30AM - 01:35PM, Building 800, Room 828 (more)...",E. Parrish,6 / 32 / 0,4,
Spring 2015,Waitlisted,CS-21-88441 (88441) Data Structure and Algorithms,Online Course,"01/26/2015-05/23/2015 Lecture Wednesday 06:00PM - 09:05PM, Building 800, Room 825 (more)...",S. Hodges,0 / 40 / 15,4,
Spring 2015,Waitlisted,CS-23-87119 (87119) Discrete Mathematics,Main Campus,"01/26/2015-05/23/2015 Lecture Tuesday, Thursday 03:30PM - 04:50PM, Building 800, Room 825 (more)...",J. Bergamini,0 / 37 / 11,4,
Spring 2015,Waitlisted,MATH-5A-87826 (87826) Anl Geom and Calc I,Main Campus,"01/26/2015-05/20/2015 Lecture Monday, Wednesday 08:30AM - 10:55AM, Building 700, Room 714",V. Ramos,1 / 39 / 4,5,
Spring 2015,Waitlisted,MATH-5A-87827 (87827) Anl Geom and Calc I,Main Campus,"01/26/2015-05/21/2015 Lecture Monday, Tuesday, Wednesday, Thursday 09:30AM - 10:35AM, Building 600, Room 609",D. Reynolds,0 / 65 / 3,5,
Spring 2015,Open,MATH-5A-87828 (87828) Anl Geom and Calc I,Main Campus,"01/26/2015-05/21/2015 Lecture Monday, Tuesday, Wednesday, Thursday 11:10AM - 12:15PM, Building 700, Room 718",B. Krein,21 / 39 / 0,5,
Spring 2015,Open,MATH-5A-87829 (87829) Anl Geom and Calc I,Main Campus,"01/26/2015-05/20/2015 Lecture Monday, Wednesday 12:40PM - 03:05PM, Building 700, Room 711",L. Simcik,11 / 39 / 0,5,
Spring 2015,Waitlist Full,MATH-5A-87830 (87830) Anl Geom and Calc I,Main Campus,"01/26/2015-05/20/2015 Lecture Monday, Wednesday 02:10PM - 04:35PM, Building 700, Room 716",D. Adams,0 / 39 / 15,5,
Spring 2015,Waitlisted,MATH-5B-87831 (87831) Calc II,Main Campus,"01/26/2015-05/20/2015 Lecture Monday, Wednesday 08:00AM - 10:25AM, Building 700, Room 718",A. Taurke,0 / 39 / 13,5,
Spring 2015,Waitlisted,MATH-5B-87832 (87832) Calc II,Main Campus,"01/27/2015-05/21/2015 Lecture Tuesday, Thursday 08:30AM - 10:55AM, Building 800, Room 806",J. Cass,0 / 39 / 6,5,
Spring 2015,Open,MATH-5B-87833 (87833) Calc II,Main Campus,"01/26/2015-05/21/2015 Lecture Monday, Tuesday, Wednesday, Thursday 11:10AM - 12:15PM, Building 700, Room 711",D. Adams,1 / 39 / 0,5,
Spring 2015,Open,MATH-5B-88334 (88334) Calc II,Main Campus,"01/27/2015-05/21/2015 Lecture (O) Tuesday, Thursday 06:30PM - 08:55PM, Building 700, Room 714",E. Braunhut,6 / 39 / 0,5,
